Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Centro,Cabernet Sauvignon,2020,3,4905,15907640.29,11389481.29
Sucursal Centro,Merlot,2020,3,3655,8661953.35,6464824.45
Sucursal Centro,Pinot Noir,2020,3,2995,9887235.78,6243497.29
Sucursal Centro,Chardonnay,2020,3,4286,11254781.74,7149273.25
Sucursal Centro,Sauvignon Blanc,2020,3,3833,9764022.16,6173390.28
Sucursal Sur,Cabernet Sauvignon,2020,3,4591,13578302.31,9961295.56
Sucursal Sur,Merlot,2020,3,4325,10047707.79,8010561.38
Sucursal Sur,Pinot Noir,2020,3,3007,10753301.48,8290368.06
Sucursal Sur,Chardonnay,2020,3,4226,11310642.45,8210653.93
Sucursal Sur,Sauvignon Blanc,2020,3,3392,8520411.99,6256951.48
Sucursal Norte,Cabernet Sauvignon,2020,4,4637,12675301.11,8755498.25
Sucursal Norte,Merlot,2020,4,4001,10423939.08,7657617.14
Sucursal Norte,Pinot Noir,2020,4,3081,9968915.91,7342144.74
Sucursal Norte,Chardonnay,2020,4,4566,11717778.99,9063801.37
Sucursal Norte,Sauvignon Blanc,2020,4,3829,9888340.01,6528111.96
Sucursal Centro,Cabernet Sauvignon,2020,4,4564,14791876.01,11765024.79
Sucursal Centro,Merlot,2020,4,4226,10488744.11,7001756.55
Sucursal Centro,Pinot Noir,2020,4,3081,10672895.87,6454298.75
Sucursal Centro,Chardonnay,2020,4,4949,14531046.64,11037840.2
Sucursal Centro,Sauvignon Blanc,2020,4,3233,9118102.73,5703202.5
Sucursal Sur,Cabernet Sauvignon,2020,4,4678,13938560.65,9731282.21
Sucursal Sur,Merlot,2020,4,4212,11527280.56,8270311.56
Sucursal Sur,Pinot Noir,2020,4,3014,11408394.23,6850769.82
Sucursal Sur,Chardonnay,2020,4,4514,13816718.55,10228202.28
Sucursal Sur,Sauvignon Blanc,2020,4,3298,8394359.25,5913809.69
Sucursal Norte,Cabernet Sauvignon,2020,5,5175,16704545.19,11395856.35
Sucursal Norte,Merlot,2020,5,4166,10880829.49,6616129.63
Sucursal Norte,Pinot Noir,2020,5,2802,10786080.86,6682775.98
Sucursal Norte,Chardonnay,2020,5,4264,11093688.78,7816333.76
Sucursal Norte,Sauvignon Blanc,2020,5,3397,9628862.63,6832659.17
Sucursal Centro,Cabernet Sauvignon,2020,5,5467,15049019.49,9776959.98
Sucursal Centro,Merlot,2020,5,3758,8786825.93,5476471.69
Sucursal Centro,Pinot Noir,2020,5,3136,11099195.01,8458204.23
Sucursal Centro,Chardonnay,2020,5,4440,12719921.13,8498140.0
Sucursal Centro,Sauvignon Blanc,2020,5,3641,9530203.39,7523550.27
Sucursal Sur,Cabernet Sauvignon,2020,5,4652,14192284.15,11015979.31
Sucursal Sur,Merlot,2020,5,4378,11543430.22,7343745.65
Sucursal Sur,Pinot Noir,2020,5,3185,10822683.76,8534153.01
Sucursal Sur,Chardonnay,2020,5,4430,12259979.45,8293639.95
Sucursal Sur,Sauvignon Blanc,2020,5,3815,10543942.01,7937100.94
Sucursal Norte,Cabernet Sauvignon,2020,6,5416,15815954.58,9589121.18
Sucursal Norte,Merlot,2020,6,3696,9735112.64,6967741.25
Sucursal Norte,Pinot Noir,2020,6,2930,9255389.21,7121585.24
Sucursal Norte,Chardonnay,2020,6,4741,13278451.17,8756386.37
Sucursal Norte,Sauvignon Blanc,2020,6,3580,9123841.54,6984073.65
Sucursal Centro,Cabernet Sauvignon,2020,6,4810,15631285.15,9558874.39
Sucursal Centro,Merlot,2020,6,3973,10597693.88,8261446.04
Sucursal Centro,Pinot Noir,2020,6,2709,10005640.58,7193705.42
Sucursal Centro,Chardonnay,2020,6,4518,13847373.68,9533302.96
Sucursal Centro,Sauvignon Blanc,2020,6,3166,7779098.18,6160635.8
Sucursal Sur,Cabernet Sauvignon,2020,6,4598,14647569.59,9608314.85
Sucursal Sur,Merlot,2020,6,3753,8509457.33,5856878.03
Sucursal Sur,Pinot Noir,2020,6,3101,10434089.83,7673417.78
Sucursal Sur,Chardonnay,2020,6,4220,11433306.7,8638285.45
Sucursal Sur,Sauvignon Blanc,2020,6,3440,9810792.57,7757132.0
Sucursal Norte,Cabernet Sauvignon,2020,7,5326,16387405.2,11302569.25
Sucursal Norte,Merlot,2020,7,3818,9069487.39,5504928.64
Sucursal Norte,Pinot Noir,2020,7,2978,9458003.65,5767451.17
Sucursal Norte,Chardonnay,2020,7,4608,14081985.25,9044197.98
Sucursal Norte,Sauvignon Blanc,2020,7,3494,8520094.35,6724805.99
Sucursal Centro,Cabernet Sauvignon,2020,7,5462,15471575.81,10018146.39
Sucursal Centro,Merlot,2020,7,4003,10887469.38,6888173.9
Sucursal Centro,Pinot Noir,2020,7,3142,9972623.57,6556283.87
Sucursal Centro,Chardonnay,2020,7,4651,14281895.7,10740344.46
Sucursal Centro,Sauvignon Blanc,2020,7,3337,9454198.45,6541749.97
Sucursal Sur,Cabernet Sauvignon,2020,7,4543,14947290.87,11294243.66
Sucursal Sur,Merlot,2020,7,3732,8938931.6,5452366.47
Sucursal Sur,Pinot Noir,2020,7,3182,10879219.38,7625615.31
Sucursal Sur,Chardonnay,2020,7,4324,10931722.08,8462968.24
Sucursal Sur,Sauvignon Blanc,2020,7,3509,8905507.57,6279136.53
Sucursal Norte,Cabernet Sauvignon,2020,8,5149,14279850.56,10221814.68
Sucursal Norte,Merlot,2020,8,4035,9350640.76,6519315.46
Sucursal Norte,Pinot Noir,2020,8,3292,10707860.81,7816056.12
Sucursal Norte,Chardonnay,2020,8,4067,12057268.59,7579425.28
Sucursal Norte,Sauvignon Blanc,2020,8,3404,8121038.22,5090284.67
Sucursal Centro,Cabernet Sauvignon,2020,8,4646,14060989.13,8599593.83
Sucursal Centro,Merlot,2020,8,3790,10363736.37,7589231.22
Sucursal Centro,Pinot Noir,2020,8,3030,10856090.15,8569370.09
Sucursal Centro,Chardonnay,2020,8,4887,13254541.6,9486138.52
Sucursal Centro,Sauvignon Blanc,2020,8,3466,9732125.88,7680921.35
Sucursal Sur,Cabernet Sauvignon,2020,8,5181,16703388.67,10261119.75
Sucursal Sur,Merlot,2020,8,3761,9046276.27,6163924.46
Sucursal Sur,Pinot Noir,2020,8,2893,10060820.13,7011893.66
Sucursal Sur,Chardonnay,2020,8,4073,12388062.57,9179665.05
Sucursal Sur,Sauvignon Blanc,2020,8,3591,8492257.18,6629798.94
Sucursal Norte,Cabernet Sauvignon,2020,9,5398,16582712.62,10357936.35
Sucursal Norte,Merlot,2020,9,4150,9840791.91,7160652.44
Sucursal Norte,Pinot Noir,2020,9,2893,10125302.41,7017960.07
Sucursal Norte,Chardonnay,2020,9,4278,12389173.57,7854446.76
Sucursal Norte,Sauvignon Blanc,2020,9,3318,9054259.54,6788358.41
Sucursal Centro,Cabernet Sauvignon,2020,9,4994,15446317.43,9361122.28
Sucursal Centro,Merlot,2020,9,3842,8756378.66,5552466.69
Sucursal Centro,Pinot Noir,2020,9,2773,9528301.36,5891289.53
Sucursal Centro,Chardonnay,2020,9,4367,12979217.33,9844819.78
Sucursal Centro,Sauvignon Blanc,2020,9,3730,8957587.56,6570831.47
Sucursal Sur,Cabernet Sauvignon,2020,9,5321,17080259.37,13537449.83
Sucursal Sur,Merlot,2020,9,3722,8814948.99,6970701.21
Sucursal Sur,Pinot Noir,2020,9,3002,10411929.52,6278523.85
Sucursal Sur,Chardonnay,2020,9,4718,12395945.54,8826663.32
Sucursal Sur,Sauvignon Blanc,2020,9,3311,8443589.32,5422581.79
Sucursal Norte,Cabernet Sauvignon,2020,10,5279,16560910.12,10502799.6
Sucursal Norte,Merlot,2020,10,3616,9319014.01,6720451.02
Sucursal Norte,Pinot Noir,2020,10,3247,12380049.52,9064174.92
Sucursal Norte,Chardonnay,2020,10,4620,12490234.74,7641594.43
Sucursal Norte,Sauvignon Blanc,2020,10,3635,9216443.96,6504395.74
Sucursal Centro,Cabernet Sauvignon,2020,10,5397,16851945.82,12532755.7
Sucursal Centro,Merlot,2020,10,3708,8812894.84,6576698.48
Sucursal Centro,Pinot Noir,2020,10,3050,11286332.05,7858803.99
Sucursal Centro,Chardonnay,2020,10,4834,14159104.5,11214139.66
Sucursal Centro,Sauvignon Blanc,2020,10,3233,8600172.61,5585710.73
Sucursal Sur,Cabernet Sauvignon,2020,10,5021,14885290.81,10529197.92
Sucursal Sur,Merlot,2020,10,4379,11429358.61,7872278.39
Sucursal Sur,Pinot Noir,2020,10,3149,12089973.83,9103636.35
Sucursal Sur,Chardonnay,2020,10,4824,13176756.96,10291108.3
Sucursal Sur,Sauvignon Blanc,2020,10,3706,9567509.46,6252365.25
Sucursal Norte,Cabernet Sauvignon,2020,11,5387,16548283.42,12951559.98
Sucursal Norte,Merlot,2020,11,4369,11429022.06,8795231.74
Sucursal Norte,Pinot Noir,2020,11,3227,12089087.15,9413727.48
Sucursal Norte,Chardonnay,2020,11,4612,13130479.22,10147259.28
Sucursal Norte,Sauvignon Blanc,2020,11,3842,10093448.46,7477656.35
Sucursal Centro,Cabernet Sauvignon,2020,11,5401,15770639.67,12436256.03
Sucursal Centro,Merlot,2020,11,3706,9508246.18,7141973.14
Sucursal Centro,Pinot Noir,2020,11,3204,10216854.04,7840391.72
Sucursal Centro,Chardonnay,2020,11,4406,12838012.96,10206673.73
Sucursal Centro,Sauvignon Blanc,2020,11,3424,9552265.98,5949403.98
Sucursal Sur,Cabernet Sauvignon,2020,11,4803,15140977.15,11394055.91
Sucursal Sur,Merlot,2020,11,3632,8693344.05,6265470.21
Sucursal Sur,Pinot Noir,2020,11,3286,12435299.63,9743716.67
Sucursal Sur,Chardonnay,2020,11,4314,11531138.4,7822843.25
Sucursal Sur,Sauvignon Blanc,2020,11,3286,8551203.22,6366809.71
Sucursal Norte,Cabernet Sauvignon,2020,12,5311,15224834.85,12119665.47
Sucursal Norte,Merlot,2020,12,4396,11915816.75,7198949.22
Sucursal Norte,Pinot Noir,2020,12,3033,11514985.95,7130107.72
Sucursal Norte,Chardonnay,2020,12,4399,12817313.61,9198648.42
Sucursal Norte,Sauvignon Blanc,2020,12,3318,8068100.49,6141831.77
Sucursal Centro,Cabernet Sauvignon,2020,12,5248,16737596.03,11748415.26
Sucursal Centro,Merlot,2020,12,4360,10645899.06,6913483.49
Sucursal Centro,Pinot Noir,2020,12,3126,10968896.2,8491509.52
Sucursal Centro,Chardonnay,2020,12,4415,13208674.47,10389486.33
Sucursal Centro,Sauvignon Blanc,2020,12,3406,9708076.5,6626795.43
Sucursal Sur,Cabernet Sauvignon,2020,12,4713,13864094.86,11007009.08
Sucursal Sur,Merlot,2020,12,4031,10457211.07,6928171.38
Sucursal Sur,Pinot Noir,2020,12,3079,11368315.3,7968034.98
Sucursal Sur,Chardonnay,2020,12,4353,12592003.39,9224103.64
Sucursal Sur,Sauvignon Blanc,2020,12,3178,7587077.6,5416913.95
Sucursal Norte,Cabernet Sauvignon,2021,1,5525,21150568.64,16431072.01
Sucursal Norte,Merlot,2021,1,3661,9714109.3,6952475.96
Sucursal Norte,Pinot Noir,2021,1,3515,15879207.21,11763142.74
Sucursal Norte,Chardonnay,2021,1,5371,18789843.58,14275320.92
Sucursal Norte,Sauvignon Blanc,2021,1,3238,9705505.74,6209593.53
Sucursal Centro,Cabernet Sauvignon,2021,1,5410,21394377.85,14925680.39
Sucursal Centro,Merlot,2021,1,3658,9475762.61,7137118.91
Sucursal Centro,Pinot Noir,2021,1,3891,16907321.22,10777461.78
Sucursal Centro,Chardonnay,2021,1,4762,15161738.4,11832958.0
Sucursal Centro,Sauvignon Blanc,2021,1,3171,9702805.52,6698465.02
Sucursal Sur,Cabernet Sauvignon,2021,1,4965,17604669.47,12606947.72
Sucursal Sur,Merlot,2021,1,3826,11176271.13,8021126.69
Sucursal Sur,Pinot Noir,2021,1,3730,16091713.38,11686684.95
Sucursal Sur,Chardonnay,2021,1,4670,15155218.29,10043934.67
Sucursal Sur,Sauvignon Blanc,2021,1,3208,8791885.28,6293529.1
Sucursal Norte,Cabernet Sauvignon,2021,2,5339,18266486.72,14065017.62
Sucursal Norte,Merlot,2021,2,4150,10372919.88,6931366.9
Sucursal Norte,Pinot Noir,2021,2,3706,17601911.34,13158604.67
Sucursal Norte,Chardonnay,2021,2,4544,15014643.82,11786990.54
Sucursal Norte,Sauvignon Blanc,2021,2,3616,10867466.63,7287792.07
Sucursal Centro,Cabernet Sauvignon,2021,2,5441,19295275.12,12135604.32
Sucursal Centro,Merlot,2021,2,3623,10902835.18,7373491.99
Sucursal Centro,Pinot Noir,2021,2,3429,16648035.71,11895005.72
Sucursal Centro,Chardonnay,2021,2,4464,16037064.85,9796790.27
Sucursal Centro,Sauvignon Blanc,2021,2,3664,10723969.21,7808072.34
Sucursal Sur,Cabernet Sauvignon,2021,2,5272,18210159.96,13502551.19
Sucursal Sur,Merlot,2021,2,4201,12408950.25,7746034.31
Sucursal Sur,Pinot Noir,2021,2,3313,16096216.37,10862548.06
Sucursal Sur,Chardonnay,2021,2,4611,16185628.59,9992553.62
Sucursal Sur,Sauvignon Blanc,2021,2,3375,9230407.85,6737622.98
Sucursal Norte,Cabernet Sauvignon,2021,3,5886,21992266.0,16833303.96
Sucursal Norte,Merlot,2021,3,3874,9984290.43,7138936.38
Sucursal Norte,Pinot Noir,2021,3,3492,15175023.32,11003396.79
Sucursal Norte,Chardonnay,2021,3,4960,17762981.31,11783374.56
Sucursal Norte,Sauvignon Blanc,2021,3,3182,8943132.39,6511539.13
Sucursal Centro,Cabernet Sauvignon,2021,3,6046,20203746.71,15159667.77
Sucursal Centro,Merlot,2021,3,4117,11136289.93,7801731.34
Sucursal Centro,Pinot Noir,2021,3,3617,17918024.35,14163886.95
Sucursal Centro,Chardonnay,2021,3,4519,15854261.46,10143307.53
Sucursal Centro,Sauvignon Blanc,2021,3,3647,10488472.76,6945230.26
Sucursal Sur,Cabernet Sauvignon,2021,3,5046,16518446.35,11564339.59
Sucursal Sur,Merlot,2021,3,4384,11261711.25,8369144.48
Sucursal Sur,Pinot Noir,2021,3,3685,18063505.05,13516648.79
Sucursal Sur,Chardonnay,2021,3,5065,18543550.36,13902964.67
Sucursal Sur,Sauvignon Blanc,2021,3,3382,10263789.29,6518415.05
Sucursal Norte,Cabernet Sauvignon,2021,4,5899,19284924.04,15306238.27
Sucursal Norte,Merlot,2021,4,4030,10503757.81,8215725.14
Sucursal Norte,Pinot Noir,2021,4,3864,16497667.08,12418755.66
Sucursal Norte,Chardonnay,2021,4,4501,14411515.59,9004331.57
Sucursal Norte,Sauvignon Blanc,2021,4,3807,11603270.42,8437959.75
Sucursal Centro,Cabernet Sauvignon,2021,4,6028,20262958.73,14615036.06
Sucursal Centro,Merlot,2021,4,4262,12616389.26,9536199.38
Sucursal Centro,Pinot Noir,2021,4,3703,16374289.37,11792172.74
Sucursal Centro,Chardonnay,2021,4,4691,15828362.55,9842903.79
Sucursal Centro,Sauvignon Blanc,2021,4,3287,9904903.81,7132496.21
Sucursal Sur,Cabernet Sauvignon,2021,4,5826,22497129.74,15443245.37
Sucursal Sur,Merlot,2021,4,4244,11581339.19,8185232.41
Sucursal Sur,Pinot Noir,2021,4,3431,16254957.48,9858630.8
Sucursal Sur,Chardonnay,2021,4,4885,15175866.21,11035239.45
Sucursal Sur,Sauvignon Blanc,2021,4,3440,10293126.28,7697448.69
Sucursal Norte,Cabernet Sauvignon,2021,5,5757,22028699.16,14453343.57
Sucursal Norte,Merlot,2021,5,4243,11431773.44,8152308.11
Sucursal Norte,Pinot Noir,2021,5,3665,15909188.12,11493768.14
Sucursal Norte,Chardonnay,2021,5,4659,14562816.25,10380634.5
Sucursal Norte,Sauvignon Blanc,2021,5,3240,9413041.97,5667252.68
Sucursal Centro,Cabernet Sauvignon,2021,5,4977,17876662.92,11237425.54
Sucursal Centro,Merlot,2021,5,4244,11683768.36,8608280.4
Sucursal Centro,Pinot Noir,2021,5,3256,14212109.67,10980835.25
Sucursal Centro,Chardonnay,2021,5,4752,15326836.23,9833919.53
Sucursal Centro,Sauvignon Blanc,2021,5,3290,9332437.38,6985498.2
Sucursal Sur,Cabernet Sauvignon,2021,5,5246,17677339.47,11417859.67
Sucursal Sur,Merlot,2021,5,3930,11082488.88,8104868.51
Sucursal Sur,Pinot Noir,2021,5,3284,15838390.59,10647265.92
Sucursal Sur,Chardonnay,2021,5,4513,16469911.91,10145485.13
Sucursal Sur,Sauvignon Blanc,2021,5,3211,8943966.55,6082548.15
Sucursal Norte,Cabernet Sauvignon,2021,6,5160,18282947.05,11721570.66
Sucursal Norte,Merlot,2021,6,4318,12983658.6,10109989.25
Sucursal Norte,Pinot Noir,2021,6,3936,18054596.08,11510792.85
Sucursal Norte,Chardonnay,2021,6,5284,16050104.78,11600222.0
Sucursal Norte,Sauvignon Blanc,2021,6,3694,10520211.9,7095251.4
Sucursal Centro,Cabernet Sauvignon,2021,6,4994,19483490.13,14898900.57
Sucursal Centro,Merlot,2021,6,4176,10510919.7,7572777.54
Sucursal Centro,Pinot Noir,2021,6,3617,17001626.89,13569648.6
Sucursal Centro,Chardonnay,2021,6,5224,16842636.02,11421973.08
Sucursal Centro,Sauvignon Blanc,2021,6,3292,9786485.21,7425292.7
Sucursal Sur,Cabernet Sauvignon,2021,6,5686,19943071.19,15006050.18
Sucursal Sur,Merlot,2021,6,4009,12065065.34,9018831.0
Sucursal Sur,Pinot Noir,2021,6,3869,17677000.92,13522978.44
Sucursal Sur,Chardonnay,2021,6,4718,15961923.22,12121004.81
Sucursal Sur,Sauvignon Blanc,2021,6,3330,9100717.74,7248566.35
Sucursal Norte,Cabernet Sauvignon,2021,7,5069,18461853.46,12689022.42
Sucursal Norte,Merlot,2021,7,4384,13069506.44,9950475.19
Sucursal Norte,Pinot Noir,2021,7,3912,17903249.51,14005180.81
Sucursal Norte,Chardonnay,2021,7,4692,15919974.53,11931181.23
Sucursal Norte,Sauvignon Blanc,2021,7,3338,8927428.55,5876497.38
Sucursal Centro,Cabernet Sauvignon,2021,7,5231,20079477.36,14298989.16
Sucursal Centro,Merlot,2021,7,3741,10933171.99,7952425.56
Sucursal Centro,Pinot Noir,2021,7,3720,18063166.79,13417351.39
Sucursal Centro,Chardonnay,2021,7,4796,15432112.91,11395939.49
Sucursal Centro,Sauvignon Blanc,2021,7,3160,8595648.08,5699489.57
Sucursal Sur,Cabernet Sauvignon,2021,7,5027,19173110.91,11575876.52
Sucursal Sur,Merlot,2021,7,4362,12577397.64,8175867.83
Sucursal Sur,Pinot Noir,2021,7,3247,14891314.27,9992006.97
Sucursal Sur,Chardonnay,2021,7,4795,16452721.21,11776607.31
Sucursal Sur,Sauvignon Blanc,2021,7,3473,10304768.23,7200218.65
Sucursal Norte,Cabernet Sauvignon,2021,8,5946,23159499.78,17914519.12
Sucursal Norte,Merlot,2021,8,3687,9261856.92,5837395.04
Sucursal Norte,Pinot Noir,2021,8,3799,17096139.03,13429905.83
Sucursal Norte,Chardonnay,2021,8,5075,18149705.87,12370140.49
Sucursal Norte,Sauvignon Blanc,2021,8,3684,9572690.82,6995276.2
Sucursal Centro,Cabernet Sauvignon,2021,8,5673,19165541.7,14511311.11
Sucursal Centro,Merlot,2021,8,3692,10430185.14,7856696.84
Sucursal Centro,Pinot Noir,2021,8,3375,14047273.12,8535673.77
Sucursal Centro,Chardonnay,2021,8,4768,15860613.98,11583727.22
Sucursal Centro,Sauvignon Blanc,2021,8,3644,11028931.85,7114603.01
Sucursal Sur,Cabernet Sauvignon,2021,8,5221,17651487.96,11537544.34
Sucursal Sur,Merlot,2021,8,3876,11442177.25,7289802.39
Sucursal Sur,Pinot Noir,2021,8,3775,18202270.44,10945846.26
Sucursal Sur,Chardonnay,2021,8,5156,17533590.01,13707320.37
Sucursal Sur,Sauvignon Blanc,2021,8,3494,10835400.39,8504044.26
Sucursal Norte,Cabernet Sauvignon,2021,9,5958,23550480.83,15277266.6
Sucursal Norte,Merlot,2021,9,3701,10616597.9,6794510.83
Sucursal Norte,Pinot Noir,2021,9,3510,17548543.97,13672216.83
Sucursal Norte,Chardonnay,2021,9,5429,17588832.19,13671813.65
Sucursal Norte,Sauvignon Blanc,2021,9,3471,10105315.25,6363317.63
Sucursal Centro,Cabernet Sauvignon,2021,9,5897,19506907.98,15297259.03
Sucursal Centro,Merlot,2021,9,3933,10831845.15,7694320.05
Sucursal Centro,Pinot Noir,2021,9,3646,15008571.72,10485044.25
Sucursal Centro,Chardonnay,2021,9,5381,16842987.84,13341006.19
Sucursal Centro,Sauvignon Blanc,2021,9,3551,10252800.36,7973917.13
Sucursal Sur,Cabernet Sauvignon,2021,9,5102,18790298.94,12689469.46
Sucursal Sur,Merlot,2021,9,4297,11299882.29,7318739.7
Sucursal Sur,Pinot Noir,2021,9,3632,16493941.1,10923759.82
Sucursal Sur,Chardonnay,2021,9,4690,17287404.72,11960374.64
Sucursal Sur,Sauvignon Blanc,2021,9,3836,10974032.03,8091372.02
Sucursal Norte,Cabernet Sauvignon,2021,10,5538,21833887.82,16562083.33
Sucursal Norte,Merlot,2021,10,3645,10046382.45,6114912.01
Sucursal Norte,Pinot Noir,2021,10,3566,17597825.27,13790052.87
Sucursal Norte,Chardonnay,2021,10,4569,13854947.3,9417147.95
Sucursal Norte,Sauvignon Blanc,2021,10,3506,10683226.53,6876367.51
Sucursal Centro,Cabernet Sauvignon,2021,10,5913,20945891.17,15935935.14
Sucursal Centro,Merlot,2021,10,3735,11095477.64,8734137.6
Sucursal Centro,Pinot Noir,2021,10,3373,14667832.19,9524966.19
Sucursal Centro,Chardonnay,2021,10,4875,15552366.16,11258495.5
Sucursal Centro,Sauvignon Blanc,2021,10,3522,10073734.12,6724852.45
Sucursal Sur,Cabernet Sauvignon,2021,10,5261,18465048.03,13434548.1
Sucursal Sur,Merlot,2021,10,4175,11052140.27,6877266.34
Sucursal Sur,Pinot Noir,2021,10,3669,15447894.68,9842792.8
Sucursal Sur,Chardonnay,2021,10,5137,16155460.41,9965578.58
Sucursal Sur,Sauvignon Blanc,2021,10,3748,10947408.5,7767939.48
Sucursal Norte,Cabernet Sauvignon,2021,11,5669,19135152.41,14431190.68
Sucursal Norte,Merlot,2021,11,4302,12147842.99,7901163.61
Sucursal Norte,Pinot Noir,2021,11,3736,16818562.16,13235749.78
Sucursal Norte,Chardonnay,2021,11,5414,19675177.67,14361099.75
Sucursal Norte,Sauvignon Blanc,2021,11,3455,9278077.81,6843773.34
Sucursal Centro,Cabernet Sauvignon,2021,11,5325,18672659.36,14257952.59
Sucursal Centro,Merlot,2021,11,3708,10935798.78,8192507.21
Sucursal Centro,Pinot Noir,2021,11,3748,17223727.97,11513512.91
Sucursal Centro,Chardonnay,2021,11,5073,18326936.42,14426588.88
Sucursal Centro,Sauvignon Blanc,2021,11,3246,9282042.38,7069011.32
Sucursal Sur,Cabernet Sauvignon,2021,11,5725,19541923.88,12870036.08
Sucursal Sur,Merlot,2021,11,3911,10645114.05,7896565.85
Sucursal Sur,Pinot Noir,2021,11,3602,15087077.53,11990851.11
Sucursal Sur,Chardonnay,2021,11,4568,13890234.38,8972603.92
Sucursal Sur,Sauvignon Blanc,2021,11,3430,10761792.08,8095974.83
Sucursal Norte,Cabernet Sauvignon,2021,12,5915,22755337.34,14221362.63
Sucursal Norte,Merlot,2021,12,4141,10713378.03,7482803.25
Sucursal Norte,Pinot Noir,2021,12,3808,18026709.06,13041251.13
Sucursal Norte,Chardonnay,2021,12,4813,17124982.79,12439397.47
Sucursal Norte,Sauvignon Blanc,2021,12,3669,10213357.52,7912306.1
Sucursal Centro,Cabernet Sauvignon,2021,12,5178,17621841.63,12010495.12
Sucursal Centro,Merlot,2021,12,3690,9874861.98,7389790.35
Sucursal Centro,Pinot Noir,2021,12,3321,15425280.81,9979570.01
Sucursal Centro,Chardonnay,2021,12,5312,19264198.75,12911145.59
Sucursal Centro,Sauvignon Blanc,2021,12,3677,9995759.34,7524759.52
Sucursal Sur,Cabernet Sauvignon,2021,12,5763,19615070.89,13099632.71
Sucursal Sur,Merlot,2021,12,3711,9743427.96,7737610.28
Sucursal Sur,Pinot Noir,2021,12,3706,18490320.16,12323648.15
Sucursal Sur,Chardonnay,2021,12,4520,16536639.2,11283905.09
Sucursal Sur,Sauvignon Blanc,2021,12,3530,9587339.17,6533372.9
Sucursal Norte,Cabernet Sauvignon,2022,1,5980,28306015.21,19176991.9
Sucursal Norte,Merlot,2022,1,4060,12079707.84,7694404.79
Sucursal Norte,Pinot Noir,2022,1,4161,25016604.78,15226364.4
Sucursal Norte,Chardonnay,2022,1,5584,20963022.76,16580399.31
Sucursal Norte,Sauvignon Blanc,2022,1,3783,12109268.99,8651680.88
Sucursal Centro,Cabernet Sauvignon,2022,1,5889,25542202.07,18257734.14
Sucursal Centro,Merlot,2022,1,4140,11339841.35,6965728.93
Sucursal Centro,Pinot Noir,2022,1,4547,24786060.35,18214058.95
Sucursal Centro,Chardonnay,2022,1,5248,22713888.18,14713011.29
Sucursal Centro,Sauvignon Blanc,2022,1,3291,10043178.95,7280142.58
